tissue,cell_type,Lbc3_CPM,Lbc2_CPM
Early_nodule,Cortex_Epidermis.0_0,6.886804032750399,6.886804032750399
Early_nodule,Cortex_Epidermis.1,8.451088365732375,20.35944015380981
Early_nodule,Cortex_Epidermis.2,8.07435222387846,7.625777100329658
Early_nodule,Cortex_Epidermis.4,8.09009125622937,12.446294240352877
Early_nodule,Cortex_Epidermis.5,8.850403401387036,11.505524421803145
Early_nodule,Cortex_Epidermis.8,7.036224830837428,11.727041384729047
Early_nodule,Endodermis.11,0.0,0.0
Early_nodule,Nodule_infected_cell.6,63.397420200478486,39.62338762529906
Early_nodule,Nodule_meritem.9,22.491748339827826,11.245874169913913
Early_nodule,Nodule_uninfected_cell.0_1,12.56752271210097,10.349724586436094
Early_nodule,Pericycle.7,3.8631517136941005,23.1789102821646
Early_nodule,Phloem.10,8.98121578718111,22.453039467952777
Early_nodule,Procambium.3,6.977056531019121,6.395635153434195
Early_nodule,Xylem.12,0.0,7.546201619414867
Root,Cortex.0,0.0,0.0
Root,Cortex.5,0.0,0.0
Root,Cortex.7,0.0,0.0
Root,Endodermis.4,0.0,0.0
Root,Epidermis.2,0.0,0.0
Root,Epidermis.3,0.0,0.0
Root,Pericycle.1_1,0.0,0.0
Root,Phloem.8_0,0.0,0.0
Root,Phloem.8_2,0.0,0.0
Root,Procambium.1_0,0.0,0.0
Root,Root_hair.6,0.0,0.0
Root,Xylem.8_1,0.0,0.0
Hypocotyl,Dividing_cell.8,0.0,0.0
Hypocotyl,Endodermis.10,0.0,0.0
Hypocotyl,Epidermis.7,0.0,0.0
Hypocotyl,Inner_cortex.6,0.0,0.0
Hypocotyl,Outer_cortex.1,0.0,0.0
Hypocotyl,Outer_cortex.5,0.0,0.0
Hypocotyl,Pericycle.11,0.0,0.0
Hypocotyl,Phloem.15,0.0,0.0
Hypocotyl,Phloem.9,0.0,0.0
Hypocotyl,Pith.2,0.0,0.0
Hypocotyl,Procambium.14,0.0,0.0
Hypocotyl,Procambium.4,0.0,0.0
Hypocotyl,Trichome.3,0.0,0.0
Hypocotyl,Unknown.13,0.0,0.0
Hypocotyl,Vascular_parenchyma.0,0.0,0.0
Hypocotyl,Xylem.12,0.0,0.0
Cotyledon_stage_seeds,Dividing_cell.12,0.0,0.0
Cotyledon_stage_seeds,Em_epidermis.14,0.0,0.0
Cotyledon_stage_seeds,Em_proper_innitials.3,0.0,0.0
Cotyledon_stage_seeds,Endosperm.11,0.0,0.0
Cotyledon_stage_seeds,Endosperm.16,0.0,0.0
Cotyledon_stage_seeds,Endosperm.8,0.0,0.0
Cotyledon_stage_seeds,Endosperm.9,0.0,0.0
Cotyledon_stage_seeds,SC_endothelium.10,0.0,0.0
Cotyledon_stage_seeds,SC_epidermis.0,0.0,0.0
Cotyledon_stage_seeds,SC_epidermis.1,0.0,0.0
Cotyledon_stage_seeds,SC_hillum_parenchyma.15,0.0,0.0
Cotyledon_stage_seeds,SC_hillum_vasculature.7,0.0,0.0
Cotyledon_stage_seeds,SC_inner_integument.13,0.0,0.0
Cotyledon_stage_seeds,SC_parenchyma.2,0.0,0.0
Cotyledon_stage_seeds,SC_parenchyma.5,0.0,0.0
Cotyledon_stage_seeds,SC_phloem.6,0.0,0.0
Cotyledon_stage_seeds,SC_vascular_parenchyma.4,0.0,0.0
Cotyledon_stage_seeds,SC_xylem.17,0.0,0.0
Early_maturation_stage_seeds,Dividing_cell.4,0.0,0.0
Early_maturation_stage_seeds,Em_epidermis.6,0.0,0.0
Early_maturation_stage_seeds,Em_parenchyma.0_0,0.0,0.0
Early_maturation_stage_seeds,Em_parenchyma.0_1,0.0,0.0
Early_maturation_stage_seeds,Em_parenchyma.0_2,0.0,0.0
Early_maturation_stage_seeds,Em_vasculature.13,0.0,0.0
Early_maturation_stage_seeds,Endosperm.5,0.0,0.0
Early_maturation_stage_seeds,Endosperm.7,0.0,0.0
Early_maturation_stage_seeds,SC_endothelium.11,0.0,0.0
Early_maturation_stage_seeds,SC_epidermis.0_3,0.0,0.0
Early_maturation_stage_seeds,SC_epidermis.1,0.0,0.0
Early_maturation_stage_seeds,SC_epidermis.10,0.0,0.0
Early_maturation_stage_seeds,SC_parenchyma.3,0.0,0.0
Early_maturation_stage_seeds,SC_parenchyma.8,0.0,0.0
