,Lbc3 (LB1),Lbc2 (LB4),lib_size
Nodule_infected_cell.6,63.3974,39.6234,1261881
Nodule_meritem.9,22.4917,11.2459,355686
Nodule_uninfected_cell.0_1,12.5675,10.3497,1352693
Phloem.10,8.9812,22.453,222687
Cortex_Epidermis.5,8.8504,11.5055,1129892
Cortex_Epidermis.1,8.4511,20.3594,2603215
Cortex_Epidermis.4,8.0901,12.4463,1606904
Cortex_Epidermis.2,8.0744,7.6258,2229281
Cortex_Epidermis.8,7.0362,11.727,426365
Procambium.3,6.9771,6.3956,1719923
Cortex_Epidermis.0_0,6.8868,6.8868,2468489
Pericycle.7,3.8632,23.1789,517712
Endodermis.11,0.0,0.0,144916
Xylem.12,0.0,7.5462,132517
