label_a,label_b,gene_a,gene_b,spearman_profile,n_profile_points,coexpression_overlap,coexpression_overlap_note
Glyma.10G199100_Lba,Glyma.10G199000_Lbc1,Glyma.10G199100,Glyma.10G199000,1.0,5,,not computable from pseudobulk (no cells)
Glyma.10G199100_Lba,Glyma.20G191200_Lbc2,Glyma.10G199100,Glyma.20G191200,1.0,5,,not computable from pseudobulk (no cells)
Glyma.10G199100_Lba,Glyma.10G198800_Lbc3,Glyma.10G199100,Glyma.10G198800,1.0,5,,not computable from pseudobulk (no cells)
Glyma.10G199100_Lba,Glyma.10G198900_GmLb5,Glyma.10G199100,Glyma.10G198900,0.8029550685469662,5,,not computable from pseudobulk (no cells)
Glyma.10G199100_Lba,Glyma.11G121700,Glyma.10G199100,Glyma.11G121700,0.05129891760425771,5,,not computable from pseudobulk (no cells)
Glyma.10G199100_Lba,Glyma.11G121800,Glyma.10G199100,Glyma.11G121800,0.7181848464596079,5,,not computable from pseudobulk (no cells)
Glyma.10G199000_Lbc1,Glyma.20G191200_Lbc2,Glyma.10G199000,Glyma.20G191200,1.0,5,,not computable from pseudobulk (no cells)
Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3,Glyma.10G199000,Glyma.10G198800,1.0,5,,not computable from pseudobulk (no cells)
Glyma.10G199000_Lbc1,Glyma.10G198900_GmLb5,Glyma.10G199000,Glyma.10G198900,0.8029550685469662,5,,not computable from pseudobulk (no cells)
Glyma.10G199000_Lbc1,Glyma.11G121700,Glyma.10G199000,Glyma.11G121700,0.05129891760425771,5,,not computable from pseudobulk (no cells)
Glyma.10G199000_Lbc1,Glyma.11G121800,Glyma.10G199000,Glyma.11G121800,0.7181848464596079,5,,not computable from pseudobulk (no cells)
Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3,Glyma.20G191200,Glyma.10G198800,1.0,5,,not computable from pseudobulk (no cells)
Glyma.20G191200_Lbc2,Glyma.10G198900_GmLb5,Glyma.20G191200,Glyma.10G198900,0.8029550685469662,5,,not computable from pseudobulk (no cells)
Glyma.20G191200_Lbc2,Glyma.11G121700,Glyma.20G191200,Glyma.11G121700,0.05129891760425771,5,,not computable from pseudobulk (no cells)
Glyma.20G191200_Lbc2,Glyma.11G121800,Glyma.20G191200,Glyma.11G121800,0.7181848464596079,5,,not computable from pseudobulk (no cells)
Glyma.10G198800_Lbc3,Glyma.10G198900_GmLb5,Glyma.10G198800,Glyma.10G198900,0.8029550685469662,5,,not computable from pseudobulk (no cells)
Glyma.10G198800_Lbc3,Glyma.11G121700,Glyma.10G198800,Glyma.11G121700,0.05129891760425771,5,,not computable from pseudobulk (no cells)
Glyma.10G198800_Lbc3,Glyma.11G121800,Glyma.10G198800,Glyma.11G121800,0.7181848464596079,5,,not computable from pseudobulk (no cells)
Glyma.10G198900_GmLb5,Glyma.11G121700,Glyma.10G198900,Glyma.11G121700,-0.3354101966249684,5,,not computable from pseudobulk (no cells)
Glyma.10G198900_GmLb5,Glyma.11G121800,Glyma.10G198900,Glyma.11G121800,0.8944271909999159,5,,not computable from pseudobulk (no cells)
Glyma.11G121700,Glyma.11G121800,Glyma.11G121700,Glyma.11G121800,-0.6,5,,not computable from pseudobulk (no cells)
