alpha,beta,top_pair_overall,top_lb_pair,top_lb_R,lb_R_spread
0.0,1.0,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,0.7898257213393087,0.5299288108047417
0.05,0.95,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,0.797085543222169,0.5202894123028067
0.1,0.9,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,0.80441209503335,0.5096179093912756
0.15,0.85,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,0.8118059901327116,0.49784346616343306
0.2,0.8,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,0.8192678475179189,0.48489060652022176
0.25,0.75,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,0.8267982918762627,0.47067891213725743
0.3,0.7,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,0.8343979536369566,0.45512270078992656
0.35,0.65,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,0.8420674690239152,0.43813068375936737
0.4,0.6,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,0.8498074801090166,0.4196056009590861
0.45,0.55,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,0.8576186348658561,0.39944383233351843
0.5,0.5,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3|Glyma.10G199000_Lbc1,0.8655015872239916,0.3775349839856419
0.55,0.45,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,0.8766108724458087,0.35691532271254456
0.6,0.4,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,0.8895321453389983,0.33604454471187906
0.65,0.35,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,0.9026438782166897,0.3131669735073842
0.7,0.3,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,0.9159488784652757,0.28814254496845637
0.75,0.25,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,0.9294499948521163,0.26082194644182943
0.8,0.2,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,0.943150118135495,0.23104601330614494
0.85,0.15,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,0.9570521816835672,0.19864508625815136
0.9,0.1,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,0.9711591621024306,0.1634383267767402
0.95,0.05,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,0.9854740798734539,0.12523298804496696
1.0,0.0,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3|Glyma.20G191200_Lbc2,1.0,0.08909796894940003
