duplicate_1,Location,duplicate_2,Location.1,E.value,duplication_status
Glyma.01G017200,glyma.Wm82.gnm4.Gm01:1645218,Glyma.01G095300,glyma.Wm82.gnm4.Gm01:30496037,4.72e-78,WGD
Glyma.01G018400,glyma.Wm82.gnm4.Gm01:1775260,Glyma.01G096600,glyma.Wm82.gnm4.Gm01:31951672,1.04e-239,WGD
Glyma.01G018700,glyma.Wm82.gnm4.Gm01:1792993,Glyma.01G096800,glyma.Wm82.gnm4.Gm01:32103816,3.03e-56,WGD
Glyma.01G018800,glyma.Wm82.gnm4.Gm01:1806791,Glyma.01G097000,glyma.Wm82.gnm4.Gm01:32153861,2.19e-94,WGD
Glyma.01G019000,glyma.Wm82.gnm4.Gm01:1820933,Glyma.01G097100,glyma.Wm82.gnm4.Gm01:32338796,6.46e-184,WGD
Glyma.01G019200,glyma.Wm82.gnm4.Gm01:1842038,Glyma.01G097400,glyma.Wm82.gnm4.Gm01:32611594,0.0,WGD
Glyma.01G019300,glyma.Wm82.gnm4.Gm01:1868970,Glyma.01G097900,glyma.Wm82.gnm4.Gm01:32883728,1.18e-187,WGD
Glyma.01G019400,glyma.Wm82.gnm4.Gm01:1890034,Glyma.01G098000,glyma.Wm82.gnm4.Gm01:33154045,1.85e-198,WGD
Glyma.01G078000,glyma.Wm82.gnm4.Gm01:19868661,Glyma.01G137600,glyma.Wm82.gnm4.Gm01:47527795,7.32e-148,WGD
Glyma.01G078200,glyma.Wm82.gnm4.Gm01:20083383,Glyma.01G137500,glyma.Wm82.gnm4.Gm01:47510295,1.97e-62,WGD
Glyma.01G079000,glyma.Wm82.gnm4.Gm01:20743659,Glyma.01G136600,glyma.Wm82.gnm4.Gm01:47264338,7.22e-21,WGD
Glyma.01G079100,glyma.Wm82.gnm4.Gm01:20768452,Glyma.01G136500,glyma.Wm82.gnm4.Gm01:47207607,0.0,WGD
Glyma.01G079500,glyma.Wm82.gnm4.Gm01:21108500,Glyma.01G136300,glyma.Wm82.gnm4.Gm01:47142408,2.79e-231,WGD
Glyma.01G079900,glyma.Wm82.gnm4.Gm01:21776680,Glyma.01G134200,glyma.Wm82.gnm4.Gm01:46630106,1.22e-97,WGD
Glyma.01G044900,glyma.Wm82.gnm4.Gm01:5021810,Glyma.02G105500,glyma.Wm82.gnm4.Gm02:9969332,1.29e-107,WGD
Glyma.01G045100,glyma.Wm82.gnm4.Gm01:5052081,Glyma.02G105600,glyma.Wm82.gnm4.Gm02:9993952,0.0,WGD
Glyma.01G045300,glyma.Wm82.gnm4.Gm01:5123986,Glyma.02G105700,glyma.Wm82.gnm4.Gm02:10043031,4.96e-195,WGD
Glyma.01G045400,glyma.Wm82.gnm4.Gm01:5132543,Glyma.02G105800,glyma.Wm82.gnm4.Gm02:10047640,3.30e-119,WGD
Glyma.01G045500,glyma.Wm82.gnm4.Gm01:5218813,Glyma.02G105900,glyma.Wm82.gnm4.Gm02:10059025,5.13e-218,WGD
Glyma.01G045700,glyma.Wm82.gnm4.Gm01:5257861,Glyma.02G106000,glyma.Wm82.gnm4.Gm02:10081291,4.99e-132,WGD
Glyma.01G045800,glyma.Wm82.gnm4.Gm01:5269209,Glyma.02G106100,glyma.Wm82.gnm4.Gm02:10087296,1.18e-208,WGD
Glyma.01G045900,glyma.Wm82.gnm4.Gm01:5291275,Glyma.02G106200,glyma.Wm82.gnm4.Gm02:10097538,5.53e-141,WGD
Glyma.01G046000,glyma.Wm82.gnm4.Gm01:5310080,Glyma.02G106300,glyma.Wm82.gnm4.Gm02:10109181,0.0,WGD
Glyma.01G046400,glyma.Wm82.gnm4.Gm01:5344749,Glyma.02G106600,glyma.Wm82.gnm4.Gm02:10122321,2.41e-185,WGD
Glyma.01G046500,glyma.Wm82.gnm4.Gm01:5353950,Glyma.02G106700,glyma.Wm82.gnm4.Gm02:10127335,2.67e-189,WGD
Glyma.01G046600,glyma.Wm82.gnm4.Gm01:5371156,Glyma.02G106800,glyma.Wm82.gnm4.Gm02:10138052,4.08e-300,WGD
Glyma.01G046700,glyma.Wm82.gnm4.Gm01:5377527,Glyma.02G106900,glyma.Wm82.gnm4.Gm02:10144305,0.0,WGD
Glyma.01G046800,glyma.Wm82.gnm4.Gm01:5439838,Glyma.02G107000,glyma.Wm82.gnm4.Gm02:10167282,8.14e-282,WGD
Glyma.01G047000,glyma.Wm82.gnm4.Gm01:5473985,Glyma.02G107100,glyma.Wm82.gnm4.Gm02:10176537,2.63e-78,WGD
Glyma.01G047700,glyma.Wm82.gnm4.Gm01:5538967,Glyma.02G107500,glyma.Wm82.gnm4.Gm02:10220644,1.80e-183,WGD
Glyma.01G048200,glyma.Wm82.gnm4.Gm01:5604831,Glyma.02G107900,glyma.Wm82.gnm4.Gm02:10271595,8.28e-155,WGD
Glyma.01G048500,glyma.Wm82.gnm4.Gm01:5650827,Glyma.02G108100,glyma.Wm82.gnm4.Gm02:10296216,0.0,WGD
Glyma.01G048600,glyma.Wm82.gnm4.Gm01:5658154,Glyma.02G108200,glyma.Wm82.gnm4.Gm02:10303010,2.69e-45,WGD
Glyma.01G048700,glyma.Wm82.gnm4.Gm01:5670158,Glyma.02G108300,glyma.Wm82.gnm4.Gm02:10308461,6.96e-130,WGD
Glyma.01G048800,glyma.Wm82.gnm4.Gm01:5671384,Glyma.02G108400,glyma.Wm82.gnm4.Gm02:10310022,0.0,WGD
Glyma.01G049100,glyma.Wm82.gnm4.Gm01:5707051,Glyma.02G108500,glyma.Wm82.gnm4.Gm02:10317756,7.09e-204,WGD
Glyma.01G049400,glyma.Wm82.gnm4.Gm01:5753170,Glyma.02G108600,glyma.Wm82.gnm4.Gm02:10350413,6.53e-256,WGD
Glyma.01G049500,glyma.Wm82.gnm4.Gm01:5791677,Glyma.02G108700,glyma.Wm82.gnm4.Gm02:10372530,3.04e-93,WGD
Glyma.01G049600,glyma.Wm82.gnm4.Gm01:5803540,Glyma.02G108800,glyma.Wm82.gnm4.Gm02:10376801,2.63e-261,WGD
Glyma.01G049900,glyma.Wm82.gnm4.Gm01:5852224,Glyma.02G108900,glyma.Wm82.gnm4.Gm02:10404434,9.05e-145,WGD
Glyma.01G050100,glyma.Wm82.gnm4.Gm01:5876891,Glyma.02G109100,glyma.Wm82.gnm4.Gm02:10417486,1.30e-190,WGD
Glyma.01G050350,glyma.Wm82.gnm4.Gm01:5950182,Glyma.02G109166,glyma.Wm82.gnm4.Gm02:10450430,6.97e-48,WGD
Glyma.01G050400,glyma.Wm82.gnm4.Gm01:5953398,Glyma.02G109200,glyma.Wm82.gnm4.Gm02:10453074,5.26e-249,WGD
