gene_A,gene_B,symbol_A,symbol_B,perc_id_A_in_B,perc_id_B_in_A,min_perc_id,passes_filter,chrom_A,chrom_B,intergenic_kb,in_homeologous_block,duplication_node,duplication_node_concordant,dup_mode,arrangement,key,n_substitutions,pct_identity_aligned,embed_cosine_distance,llr_sum_A_to_B,llr_sum_B_to_A,llr_mean_symmetric,llr_sum_symmetric,pair
GLYMA_10G198800,GLYMA_10G198900,LB1,LB5,77.2414,66.6667,66.6667,True,10,10,4.275,False,Phaseoleae,False,SSD,"tandem, 0 intervening gene(s)",GLYMA_10G198800|GLYMA_10G198900,33,77.2414,0.017465,-1.5703,-8.5647,-0.1536,-10.135,LB1-LB5
GLYMA_10G198800,GLYMA_10G199000,LB1,LB2,91.0345,91.6667,91.0345,True,10,10,8.596,False,Glycine_subgen._Soja,True,SSD,"tandem, 1 intervening gene(s)",GLYMA_10G198800|GLYMA_10G199000,12,91.6667,0.001127,-2.4264,1.5895,-0.0349,-0.8369000000000002,LB1-LB2
GLYMA_10G198800,GLYMA_10G199100,LB1,LB3,91.7241,92.3611,91.7241,True,10,10,13.289,False,Glycine_subgen._Soja,True,SSD,"tandem, 2 intervening gene(s)",GLYMA_10G198800|GLYMA_10G199100,11,92.3611,0.002435,1.2369,-0.8712,0.0166,0.36570000000000014,LB1-LB3
GLYMA_10G198800,GLYMA_20G191200,LB1,LB4,95.1724,95.1724,95.1724,True,10,20,,True,Glycine_subgen._Soja,True,WGD,homeologous block (chr10/chr20),GLYMA_10G198800|GLYMA_20G191200,7,95.1724,0.000589,8.0957,-8.4767,-0.0272,-0.38099999999999845,LB1-LB4
GLYMA_10G198900,GLYMA_10G199000,LB5,LB2,68.4524,79.8611,68.4524,True,10,10,4.321,False,Phaseoleae,False,SSD,"tandem, 0 intervening gene(s)",GLYMA_10G198900|GLYMA_10G199000,29,79.8611,0.018594,-5.6312,0.0029,-0.097,-5.628299999999999,LB5-LB2
GLYMA_10G198900,GLYMA_10G199100,LB5,LB3,66.6667,77.7778,66.6667,True,10,10,9.014,False,Phaseoleae,False,SSD,"tandem, 1 intervening gene(s)",GLYMA_10G198900|GLYMA_10G199100,32,77.7778,0.020555,-3.9494,-6.086,-0.1568,-10.0354,LB5-LB3
GLYMA_10G198900,GLYMA_20G191200,LB5,LB4,69.0476,80.0,69.0476,True,10,20,,True,Phaseoleae,False,SSD,homeologous block (chr10/chr20),GLYMA_10G198900|GLYMA_20G191200,29,80.0,0.020076,-0.9073,-10.1263,-0.1902,-11.0336,LB5-LB4
GLYMA_10G199000,GLYMA_10G199100,LB2,LB3,92.3611,92.3611,92.3611,True,10,10,4.693,False,Glycine_subgen._Soja,True,SSD,"tandem, 0 intervening gene(s)",GLYMA_10G199000|GLYMA_10G199100,11,92.3611,0.002108,1.5822,-2.5425,-0.0436,-0.9602999999999999,LB2-LB3
GLYMA_10G199000,GLYMA_20G191200,LB2,LB4,93.75,93.1034,93.1034,True,10,20,,True,Glycine_subgen._Soja,True,WGD,homeologous block (chr10/chr20),GLYMA_10G199000|GLYMA_20G191200,9,93.75,0.000971,8.7069,-11.0861,-0.1322,-2.379200000000001,LB2-LB4
GLYMA_10G199100,GLYMA_20G191200,LB3,LB4,93.0556,92.4138,92.4138,True,10,20,,True,Glycine_subgen._Soja,True,WGD,homeologous block (chr10/chr20),GLYMA_10G199100|GLYMA_20G191200,10,93.0556,0.001948,6.8755,-7.8917,-0.0508,-1.0162000000000004,LB3-LB4
