gene_A,gene_B,symbol_A,symbol_B,perc_id_A_in_B,perc_id_B_in_A,min_perc_id,passes_filter,chrom_A,chrom_B,intergenic_kb,in_homeologous_block,duplication_node,duplication_node_concordant,dup_mode,arrangement
GLYMA_10G198800,GLYMA_10G198900,LB1,LB5,77.2414,66.6667,66.6667,True,10,10,4.275,False,Phaseoleae,False,SSD,same chromosome (tandem / local duplicate)
GLYMA_10G198800,GLYMA_10G199000,LB1,LB2,91.0345,91.6667,91.0345,True,10,10,8.596,False,Glycine_subgen._Soja,True,SSD,same chromosome (tandem / local duplicate)
GLYMA_10G198800,GLYMA_10G199100,LB1,LB3,91.7241,92.3611,91.7241,True,10,10,13.289,False,Glycine_subgen._Soja,True,SSD,same chromosome (tandem / local duplicate)
GLYMA_10G198800,GLYMA_20G191200,LB1,LB4,95.1724,95.1724,95.1724,True,10,20,,True,Glycine_subgen._Soja,True,WGD,homeologous block (chr10/chr20)
GLYMA_10G198900,GLYMA_10G199000,LB5,LB2,68.4524,79.8611,68.4524,True,10,10,4.321,False,Phaseoleae,False,SSD,same chromosome (tandem / local duplicate)
GLYMA_10G198900,GLYMA_10G199100,LB5,LB3,66.6667,77.7778,66.6667,True,10,10,9.014,False,Phaseoleae,False,SSD,same chromosome (tandem / local duplicate)
GLYMA_10G198900,GLYMA_20G191200,LB5,LB4,69.0476,80.0,69.0476,True,10,20,,True,Phaseoleae,False,SSD,homeologous block (chr10/chr20)
GLYMA_10G199000,GLYMA_10G199100,LB2,LB3,92.3611,92.3611,92.3611,True,10,10,4.693,False,Glycine_subgen._Soja,True,SSD,same chromosome (tandem / local duplicate)
GLYMA_10G199000,GLYMA_20G191200,LB2,LB4,93.75,93.1034,93.1034,True,10,20,,True,Glycine_subgen._Soja,True,WGD,homeologous block (chr10/chr20)
GLYMA_10G199100,GLYMA_20G191200,LB3,LB4,93.0556,92.4138,92.4138,True,10,20,,True,Glycine_subgen._Soja,True,WGD,homeologous block (chr10/chr20)
