uniprot_x,pdb_path,afdb_entry,afdb_model_created,afdb_version,mean_plddt,frac_plddt_very_low,pdb_url,label,gene_id,uniprot_y,entry_name,uniprot_protein_name,uniprot_length,uniprot_reviewed,n_uniprot_hits,n_res_model,len_a4_protein,len_delta,pid_model_vs_a4,n_aligned_cols,model_is_a4_sequence
P02236,/Users/user/Boston-Computational-Biology-Hackathon/results/structure_module/pdb/AF-P02236-F1.pdb,AF-P02236-F1,2025-08-01,6,95.69,0.0,https://alphafold.ebi.ac.uk/files/AF-P02236-F1-model_v6.pdb,Glyma.20G191200_Lbc2,Glyma.20G191200,P02236,LGB4_SOYBN,Leghemoglobin 4 (GmLb4) (Hemoglobin 2-5) (GmGLB2-5) (Leghemoglobin C2) (GmLbc2),145,reviewed,1,145,145,0,100.0,145,True
P02235,/Users/user/Boston-Computational-Biology-Hackathon/results/structure_module/pdb/AF-P02235-F1.pdb,AF-P02235-F1,2025-08-01,6,95.75,0.0,https://alphafold.ebi.ac.uk/files/AF-P02235-F1-model_v6.pdb,Glyma.10G199000_Lbc1,Glyma.10G199000,P02235,LGB2_SOYBN,Leghemoglobin 2 (GmLb2) (Hemoglobin 2-3) (GmGLB2-3) (Leghemoglobin C1) (GmLbc1) (Nodulin-50) (N-50),144,reviewed,1,144,144,0,100.0,144,True
P02238,/Users/user/Boston-Computational-Biology-Hackathon/results/structure_module/pdb/AF-P02238-F1.pdb,AF-P02238-F1,2025-08-01,6,96.5,0.0,https://alphafold.ebi.ac.uk/files/AF-P02238-F1-model_v6.pdb,Glyma.10G199100_Lba,Glyma.10G199100,P02238,LGB3_SOYBN,Leghemoglobin 3 (GmLb3) (Hemoglobin 2-4) (GmGLB2-4) (Leghemoglobin alpha) (GmLba) (Leghemoglobin A) (Nodulin-2) (N-2),144,reviewed,1,144,144,0,100.0,144,True
P02237,/Users/user/Boston-Computational-Biology-Hackathon/results/structure_module/pdb/AF-P02237-F1.pdb,AF-P02237-F1,2025-08-01,6,96.06,0.0,https://alphafold.ebi.ac.uk/files/AF-P02237-F1-model_v6.pdb,Glyma.10G198800_Lbc3,Glyma.10G198800,P02237,LGB1_SOYBN,Leghemoglobin 1 (GmLb1) (Hemoglobin 2-1) (GmGLB2-1) (Leghemoglobin C3) (GmLbc3),145,reviewed,1,145,145,0,100.0,145,True
Q42785,/Users/user/Boston-Computational-Biology-Hackathon/results/structure_module/pdb/AF-Q42785-F1.pdb,AF-Q42785-F1,2025-08-01,6,93.81,0.031,https://alphafold.ebi.ac.uk/files/AF-Q42785-F1-model_v6.pdb,Glyma.11G121800_Hb2,Glyma.11G121800,Q42785,NSHB2_SOYBN,Anaerobic nitrite reductase Hb2 (EC 1.7.2.-) (Hemoglobin 1-2) (GmGLB1-2) (Non-symbiotic hemoglobin 1) (Non-symbiotic hemoglobin 2) (GmHb2),161,reviewed,1,161,161,0,100.0,161,True
I1LJI1,/Users/user/Boston-Computational-Biology-Hackathon/results/structure_module/pdb/AF-I1LJI1-F1.pdb,AF-I1LJI1-F1,2025-08-01,6,94.38,0.013,https://alphafold.ebi.ac.uk/files/AF-I1LJI1-F1-model_v6.pdb,Glyma.11G121700_Hb1,Glyma.11G121700,I1LJI1,NSHB1_SOYBN,Anaerobic nitrite reductase Hb1 (EC 1.7.2.-) (Hemoglobin 1-1) (GmGLB1-1) (Non-symbiotic hemoglobin 1) (GmHb1) (Non-symbiotic hemoglobin 1-like),157,reviewed,1,157,157,0,100.0,157,True
A0A0R0HW51,/Users/user/Boston-Computational-Biology-Hackathon/results/structure_module/pdb/AF-A0A0R0HW51-F1.pdb,AF-A0A0R0HW51-F1,2025-08-01,6,81.62,0.077,https://alphafold.ebi.ac.uk/files/AF-A0A0R0HW51-F1-model_v6.pdb,Glyma.10G198900_GmLb5,Glyma.10G198900,A0A0R0HW51,LGB5_SOYBN,Leghemoglobin 5 (GmLb5) (Hemoglobin 2-2) (GmGLB2-2),168,reviewed,1,168,151,17,100.0,151,False
