,Glyma.20G191200_Lbc2,Glyma.10G199000_Lbc1,Glyma.10G199100_Lba,Glyma.10G198800_Lbc3,Glyma.11G121800,Glyma.11G121700,Glyma.10G198900
Glyma.20G191200_Lbc2,0.0,0.00097090006,0.001948297,0.00058847666,0.14258736,0.07311964,0.005477309
Glyma.10G199000_Lbc1,0.00097090006,0.0,0.0021082163,0.0011264086,0.14359444,0.073326945,0.0050697923
Glyma.10G199100_Lba,0.001948297,0.0021082163,0.0,0.0024348497,0.14441156,0.075783014,0.0058346987
Glyma.10G198800_Lbc3,0.00058847666,0.0011264086,0.0024348497,0.0,0.14466894,0.07473445,0.0049800873
Glyma.11G121800,0.14258736,0.14359444,0.14441156,0.14466894,0.0,0.021873236,0.14446306
Glyma.11G121700,0.07311964,0.073326945,0.075783014,0.07473445,0.021873236,0.0,0.07078838
Glyma.10G198900,0.005477309,0.0050697923,0.0058346987,0.0049800873,0.14446306,0.07078838,0.0
