label_a,label_b,tm_score,tm_norm_a,tm_norm_b,rmsd,pocket_identity,n_pocket_cols,n_res_a,n_res_b
Glyma.20G191200_Lbc2,Glyma.10G199000_Lbc1,0.9915,0.9847,0.9915,0.428,95.65,23,145,144
Glyma.20G191200_Lbc2,Glyma.10G199100_Lba,0.9863,0.9795,0.9863,0.919,91.3,23,145,144
Glyma.20G191200_Lbc2,Glyma.10G198800_Lbc3,0.9976,0.9976,0.9976,0.221,100.0,23,145,145
Glyma.20G191200_Lbc2,Glyma.11G121800,0.8248,0.8248,0.7532,2.411,52.17,23,145,161
Glyma.20G191200_Lbc2,Glyma.11G121700,0.9139,0.9139,0.8486,1.458,52.17,23,145,157
Glyma.20G191200_Lbc2,Glyma.10G198900,0.9523,0.9523,0.8257,1.314,82.61,23,145,168
Glyma.10G199000_Lbc1,Glyma.10G199100_Lba,0.9816,0.9816,0.9816,0.992,95.65,23,144,144
Glyma.10G199000_Lbc1,Glyma.10G198800_Lbc3,0.9904,0.9904,0.9836,0.46,95.65,23,144,145
Glyma.10G199000_Lbc1,Glyma.11G121800,0.8198,0.8198,0.7447,2.409,56.52,23,144,161
Glyma.10G199000_Lbc1,Glyma.11G121700,0.9064,0.9064,0.8369,1.656,56.52,23,144,157
Glyma.10G199000_Lbc1,Glyma.10G198900,0.9497,0.9497,0.8176,1.05,86.96,23,144,168
Glyma.10G199100_Lba,Glyma.10G198800_Lbc3,0.9844,0.9844,0.9777,0.915,91.3,23,144,145
Glyma.10G199100_Lba,Glyma.11G121800,0.8313,0.8313,0.7543,2.296,56.52,23,144,161
Glyma.10G199100_Lba,Glyma.11G121700,0.9008,0.9008,0.8316,1.734,56.52,23,144,157
Glyma.10G199100_Lba,Glyma.10G198900,0.9386,0.9386,0.8092,1.605,82.61,23,144,168
Glyma.10G198800_Lbc3,Glyma.11G121800,0.8282,0.8282,0.7561,2.355,52.17,23,145,161
Glyma.10G198800_Lbc3,Glyma.11G121700,0.9181,0.9181,0.8522,1.418,52.17,23,145,157
Glyma.10G198800_Lbc3,Glyma.10G198900,0.9485,0.9485,0.8228,1.35,82.61,23,145,168
Glyma.11G121800,Glyma.11G121700,0.8929,0.8725,0.8929,1.57,82.61,23,161,157
Glyma.11G121800,Glyma.10G198900,0.7446,0.7446,0.7185,2.907,52.17,23,161,168
Glyma.11G121700,Glyma.10G198900,0.8327,0.8327,0.7825,2.222,52.17,23,157,168
