Dup,duplication_status
Glyma.01G001300,WGD
Glyma.01G001800,WGD
Glyma.01G001900,WGD
Glyma.01G002100,WGD
Glyma.01G002200,WGD
Glyma.01G002300,WGD
Glyma.01G002400,WGD
Glyma.01G002501,WGD
Glyma.01G002600,WGD
Glyma.01G002700,WGD
Glyma.01G002800,WGD
Glyma.01G002902,WGD
Glyma.01G003000,WGD
Glyma.01G003100,WGD
Glyma.01G003200,WGD
Glyma.01G003300,WGD
Glyma.01G003400,WGD
Glyma.01G003450,WGD
Glyma.01G003500,WGD
Glyma.01G003600,WGD
Glyma.01G003700,WGD
Glyma.01G003800,WGD
Glyma.01G003900,WGD
Glyma.01G004000,WGD
Glyma.01G004100,WGD
Glyma.01G004200,WGD
Glyma.01G004300,WGD
Glyma.01G004500,WGD
Glyma.01G004600,WGD
Glyma.01G004800,WGD
Glyma.01G004900,WGD
Glyma.01G005000,WGD
Glyma.01G005100,WGD
Glyma.01G005300,WGD
Glyma.01G005400,WGD
Glyma.01G005500,WGD
Glyma.01G005600,WGD
Glyma.01G005800,WGD
Glyma.01G005900,WGD
Glyma.01G006000,WGD
Glyma.01G006200,WGD
Glyma.01G006500,WGD
Glyma.01G006600,WGD
Glyma.01G006800,WGD
Glyma.01G007000,WGD
Glyma.01G007100,WGD
Glyma.01G007200,WGD
Glyma.01G007400,WGD
Glyma.01G007700,WGD
Glyma.01G007900,WGD
Glyma.01G008000,WGD
Glyma.01G008100,WGD
Glyma.01G008200,WGD
Glyma.01G008300,WGD
Glyma.01G008400,WGD
Glyma.01G008500,WGD
Glyma.01G008600,WGD
Glyma.01G008800,WGD
Glyma.01G008900,WGD
Glyma.01G009000,WGD
Glyma.01G009300,WGD
Glyma.01G009400,WGD
Glyma.01G009500,WGD
Glyma.01G009600,WGD
Glyma.01G009800,WGD
Glyma.01G009900,WGD
Glyma.01G010000,WGD
Glyma.01G010100,WGD
Glyma.01G010200,WGD
Glyma.01G010300,WGD
Glyma.01G010400,WGD
Glyma.01G010500,WGD
Glyma.01G010800,WGD
Glyma.01G010900,WGD
Glyma.01G011000,WGD
Glyma.01G011100,WGD
Glyma.01G011200,WGD
Glyma.01G011300,WGD
Glyma.01G011400,WGD
Glyma.01G011500,WGD
Glyma.01G012300,WGD
Glyma.01G012400,WGD
Glyma.01G012500,WGD
Glyma.01G013300,WGD
Glyma.01G013600,WGD
Glyma.01G013800,WGD
Glyma.01G013900,WGD
Glyma.01G014000,WGD
Glyma.01G014100,WGD
Glyma.01G014200,WGD
Glyma.01G014400,WGD
Glyma.01G014500,WGD
Glyma.01G014600,WGD
Glyma.01G014700,WGD
Glyma.01G014800,WGD
Glyma.01G015000,WGD
Glyma.01G015100,WGD
Glyma.01G015300,WGD
Glyma.01G015400,WGD
Glyma.01G015500,WGD
Glyma.01G015600,WGD
Glyma.01G015700,WGD
Glyma.01G015900,WGD
Glyma.01G016100,WGD
Glyma.01G016400,WGD
Glyma.01G016500,WGD
Glyma.01G016600,WGD
Glyma.01G016700,WGD
Glyma.01G016800,WGD
Glyma.01G016900,WGD
Glyma.01G017100,WGD
Glyma.01G017200,WGD
