gene_id,label,protein_id,symbol,is_focal,prot_len,pfam_hit,evalue_full,score_full,dom_score,hmm_coverage,ali_from,ali_to
Glyma.20G191200,Glyma.20G191200_Lbc2,glyma.Wm82.gnm4.ann1.Glyma.20G191200.1,Lbc2,True,145,True,1.2e-18,69.2,68.8,0.9829059829059829,30,141
Glyma.10G199000,Glyma.10G199000_Lbc1,glyma.Wm82.gnm4.ann1.Glyma.10G199000.1,Lbc1,True,144,True,7.1e-18,66.7,66.3,0.9829059829059829,30,141
Glyma.10G199100,Glyma.10G199100_Lba,glyma.Wm82.gnm4.ann1.Glyma.10G199100.1,Lba,True,144,True,1.2e-17,66.0,65.6,0.9829059829059829,30,141
Glyma.10G198800,Glyma.10G198800_Lbc3,glyma.Wm82.gnm4.ann1.Glyma.10G198800.1,Lbc3,True,145,True,8.9e-17,63.2,62.8,0.9829059829059829,30,141
Glyma.11G121800,Glyma.11G121800,glyma.Wm82.gnm4.ann1.Glyma.11G121800.1,,False,161,True,7.1e-22,79.6,79.1,0.9914529914529915,34,152
Glyma.11G121700,Glyma.11G121700,glyma.Wm82.gnm4.ann1.Glyma.11G121700.1,,False,157,True,5.7e-21,76.7,76.3,0.9914529914529915,31,149
Glyma.10G198900,Glyma.10G198900,glyma.Wm82.gnm4.ann1.Glyma.10G198900.2,,False,151,True,4.3e-18,67.4,67.0,0.9829059829059829,30,141
