fam,geneA1,geneA2,geneB1,geneB2,geneA1_extracted,geneA2_extracted,geneB1_extracted,geneB2_extracted
Legume.fam3.00127,glyma.Wm82.gnm4.ann1.Glyma.06G150400.1,glyma.Wm82.gnm4.ann1.Glyma.04G215600.1,glyma.Wm82.gnm4.ann1.Glyma.05G188900.1,glyma.Wm82.gnm4.ann1.Glyma.08G146600.1,Glyma.06G150400,Glyma.04G215600,Glyma.05G188900,Glyma.08G146600
Legume.fam3.00230,glyma.Wm82.gnm4.ann1.Glyma.08G159400.3,glyma.Wm82.gnm4.ann1.Glyma.15G267200.1,glyma.Wm82.gnm4.ann1.Glyma.15G267300.1,glyma.Wm82.gnm4.ann1.Glyma.08G159100.1,Glyma.08G159400,Glyma.15G267200,Glyma.15G267300,Glyma.08G159100
Legume.fam3.00318,glyma.Wm82.gnm4.ann1.Glyma.19G218800.1,glyma.Wm82.gnm4.ann1.Glyma.03G221700.1,glyma.Wm82.gnm4.ann1.Glyma.19G219000.1,glyma.Wm82.gnm4.ann1.Glyma.03G221900.1,Glyma.19G218800,Glyma.03G221700,Glyma.19G219000,Glyma.03G221900
Legume.fam3.00353,glyma.Wm82.gnm4.ann1.Glyma.15G014600.2,glyma.Wm82.gnm4.ann1.Glyma.13G359300.1,glyma.Wm82.gnm4.ann1.Glyma.07G006000.1,glyma.Wm82.gnm4.ann1.Glyma.08G206600.1,Glyma.15G014600,Glyma.13G359300,Glyma.07G006000,Glyma.08G206600
Legume.fam3.00356,glyma.Wm82.gnm4.ann1.Glyma.15G138400.1,glyma.Wm82.gnm4.ann1.Glyma.09G033700.1,glyma.Wm82.gnm4.ann1.Glyma.07G237500.1,glyma.Wm82.gnm4.ann1.Glyma.17G036100.1,Glyma.15G138400,Glyma.09G033700,Glyma.07G237500,Glyma.17G036100
Legume.fam3.00375,glyma.Wm82.gnm4.ann1.Glyma.11G230100.1,glyma.Wm82.gnm4.ann1.Glyma.18G027100.1,glyma.Wm82.gnm4.ann1.Glyma.14G059200.1,glyma.Wm82.gnm4.ann1.Glyma.02G257200.1,Glyma.11G230100,Glyma.18G027100,Glyma.14G059200,Glyma.02G257200
Legume.fam3.00376,glyma.Wm82.gnm4.ann1.Glyma.19G254000.2,glyma.Wm82.gnm4.ann1.Glyma.03G256200.4,glyma.Wm82.gnm4.ann1.Glyma.07G057900.1,glyma.Wm82.gnm4.ann1.Glyma.16G026900.5,Glyma.19G254000,Glyma.03G256200,Glyma.07G057900,Glyma.16G026900
Legume.fam3.00382,glyma.Wm82.gnm4.ann1.Glyma.09G194400.1,glyma.Wm82.gnm4.ann1.Glyma.01G146700.1,glyma.Wm82.gnm4.ann1.Glyma.08G035300.4,glyma.Wm82.gnm4.ann1.Glyma.05G228400.1,Glyma.09G194400,Glyma.01G146700,Glyma.08G035300,Glyma.05G228400
Legume.fam3.00391,glyma.Wm82.gnm4.ann1.Glyma.03G254800.1,glyma.Wm82.gnm4.ann1.Glyma.19G252500.1,glyma.Wm82.gnm4.ann1.Glyma.16G029600.1,glyma.Wm82.gnm4.ann1.Glyma.07G061000.1,Glyma.03G254800,Glyma.19G252500,Glyma.16G029600,Glyma.07G061000
Legume.fam3.00463,glyma.Wm82.gnm4.ann1.Glyma.07G266300.1,glyma.Wm82.gnm4.ann1.Glyma.17G008000.1,glyma.Wm82.gnm4.ann1.Glyma.15G115600.1,glyma.Wm82.gnm4.ann1.Glyma.09G011200.1,Glyma.07G266300,Glyma.17G008000,Glyma.15G115600,Glyma.09G011200
Legume.fam3.00470,glyma.Wm82.gnm4.ann1.Glyma.08G283600.2,glyma.Wm82.gnm4.ann1.Glyma.18G142900.3,glyma.Wm82.gnm4.ann1.Glyma.01G027800.1,glyma.Wm82.gnm4.ann1.Glyma.02G037400.1,Glyma.08G283600,Glyma.18G142900,Glyma.01G027800,Glyma.02G037400
Legume.fam3.00476,glyma.Wm82.gnm4.ann1.Glyma.05G126000.1,glyma.Wm82.gnm4.ann1.Glyma.08G081000.1,glyma.Wm82.gnm4.ann1.Glyma.15G132500.1,glyma.Wm82.gnm4.ann1.Glyma.09G026800.4,Glyma.05G126000,Glyma.08G081000,Glyma.15G132500,Glyma.09G026800
Legume.fam3.00481,glyma.Wm82.gnm4.ann1.Glyma.03G234100.1,glyma.Wm82.gnm4.ann1.Glyma.19G231500.1,glyma.Wm82.gnm4.ann1.Glyma.10G150700.1,glyma.Wm82.gnm4.ann1.Glyma.20G237800.3,Glyma.03G234100,Glyma.19G231500,Glyma.10G150700,Glyma.20G237800
Legume.fam3.00486,glyma.Wm82.gnm4.ann1.Glyma.14G153500.4,glyma.Wm82.gnm4.ann1.Glyma.13G031600.5,glyma.Wm82.gnm4.ann1.Glyma.06G116400.1,glyma.Wm82.gnm4.ann1.Glyma.04G246400.1,Glyma.14G153500,Glyma.13G031600,Glyma.06G116400,Glyma.04G246400
Legume.fam3.00502,glyma.Wm82.gnm4.ann1.Glyma.03G190200.1,glyma.Wm82.gnm4.ann1.Glyma.19G190600.1,glyma.Wm82.gnm4.ann1.Glyma.10G065600.1,glyma.Wm82.gnm4.ann1.Glyma.13G150700.2,Glyma.03G190200,Glyma.19G190600,Glyma.10G065600,Glyma.13G150700
Legume.fam3.00505,glyma.Wm82.gnm4.ann1.Glyma.14G148300.1,glyma.Wm82.gnm4.ann1.Glyma.13G081000.1,glyma.Wm82.gnm4.ann1.Glyma.06G112200.1,glyma.Wm82.gnm4.ann1.Glyma.04G250600.1,Glyma.14G148300,Glyma.13G081000,Glyma.06G112200,Glyma.04G250600
Legume.fam3.00506,glyma.Wm82.gnm4.ann1.Glyma.17G219700.1,glyma.Wm82.gnm4.ann1.Glyma.14G106200.3,glyma.Wm82.gnm4.ann1.Glyma.04G057700.2,glyma.Wm82.gnm4.ann1.Glyma.06G058400.1,Glyma.17G219700,Glyma.14G106200,Glyma.04G057700,Glyma.06G058400
Legume.fam3.00509,glyma.Wm82.gnm4.ann1.Glyma.08G074700.3,glyma.Wm82.gnm4.ann1.Glyma.05G119900.2,glyma.Wm82.gnm4.ann1.Glyma.08G180900.1,glyma.Wm82.gnm4.ann1.Glyma.15G051500.1,Glyma.08G074700,Glyma.05G119900,Glyma.08G180900,Glyma.15G051500
Legume.fam3.00512,glyma.Wm82.gnm4.ann1.Glyma.08G118000.1,glyma.Wm82.gnm4.ann1.Glyma.05G160500.1,glyma.Wm82.gnm4.ann1.Glyma.13G226900.3,glyma.Wm82.gnm4.ann1.Glyma.15G085500.1,Glyma.08G118000,Glyma.05G160500,Glyma.13G226900,Glyma.15G085500
Legume.fam3.00515,glyma.Wm82.gnm4.ann1.Glyma.18G189600.1,glyma.Wm82.gnm4.ann1.Glyma.07G139100.1,glyma.Wm82.gnm4.ann1.Glyma.01G105000.1,glyma.Wm82.gnm4.ann1.Glyma.03G072100.1,Glyma.18G189600,Glyma.07G139100,Glyma.01G105000,Glyma.03G072100
Legume.fam3.00517,glyma.Wm82.gnm4.ann1.Glyma.04G202100.1,glyma.Wm82.gnm4.ann1.Glyma.06G163500.1,glyma.Wm82.gnm4.ann1.Glyma.05G200000.3,glyma.Wm82.gnm4.ann1.Glyma.08G007400.1,Glyma.04G202100,Glyma.06G163500,Glyma.05G200000,Glyma.08G007400
