label_a,label_b,gene_a,gene_b,symbol_a,symbol_b,chrom_a,chrom_b,same_seqid,n_intervening_genes,intergenic_bp,duplication_mode,both_focal,pid_aligned,pid_shorter,n_aligned_cols,esm2_cosine_distance
Glyma.10G198800_Lbc3,Glyma.10G198900_GmLb5,Glyma.10G198800,Glyma.10G198900,Lbc3,GmLb5,Gm10,Gm10,True,0,2793,tandem,False,77.24137931034483,77.24137931034483,145,0.0049800873
Glyma.10G198800_Lbc3,Glyma.10G199000_Lbc1,Glyma.10G198800,Glyma.10G199000,Lbc3,Lbc1,Gm10,Gm10,True,1,7471,tandem,True,91.66666666666667,91.66666666666667,144,0.0011264086
Glyma.10G198800_Lbc3,Glyma.10G199100_Lba,Glyma.10G198800,Glyma.10G199100,Lbc3,Lba,Gm10,Gm10,True,2,12186,tandem,True,92.36111111111111,92.36111111111111,144,0.0024348497
Glyma.10G198800_Lbc3,Glyma.11G121700_Hb1,Glyma.10G198800,Glyma.11G121700,Lbc3,Hb1,Gm10,Gm11,False,-1,-1,dispersed,False,44.13793103448276,44.13793103448276,145,0.07473445
Glyma.10G198800_Lbc3,Glyma.11G121800_Hb2,Glyma.10G198800,Glyma.11G121800,Lbc3,Hb2,Gm10,Gm11,False,-1,-1,dispersed,False,42.758620689655174,42.758620689655174,145,0.14466894
Glyma.10G198800_Lbc3,Glyma.20G191200_Lbc2,Glyma.10G198800,Glyma.20G191200,Lbc3,Lbc2,Gm10,Gm20,False,-1,-1,dispersed,True,95.17241379310344,95.17241379310344,145,0.00058847666
Glyma.10G198900_GmLb5,Glyma.10G199000_Lbc1,Glyma.10G198900,Glyma.10G199000,GmLb5,Lbc1,Gm10,Gm10,True,0,1426,tandem,False,79.86111111111111,79.86111111111111,144,0.0050697923
Glyma.10G198900_GmLb5,Glyma.10G199100_Lba,Glyma.10G198900,Glyma.10G199100,GmLb5,Lba,Gm10,Gm10,True,1,6141,tandem,False,77.77777777777777,77.77777777777777,144,0.0058346987
Glyma.10G198900_GmLb5,Glyma.11G121700_Hb1,Glyma.10G198900,Glyma.11G121700,GmLb5,Hb1,Gm10,Gm11,False,-1,-1,dispersed,False,47.651006711409394,47.019867549668874,149,0.07078838
Glyma.10G198900_GmLb5,Glyma.11G121800_Hb2,Glyma.10G198900,Glyma.11G121800,GmLb5,Hb2,Gm10,Gm11,False,-1,-1,dispersed,False,46.0,45.6953642384106,150,0.14446306
Glyma.10G198900_GmLb5,Glyma.20G191200_Lbc2,Glyma.10G198900,Glyma.20G191200,GmLb5,Lbc2,Gm10,Gm20,False,-1,-1,dispersed,False,80.0,80.0,145,0.005477309
Glyma.10G199000_Lbc1,Glyma.10G199100_Lba,Glyma.10G199000,Glyma.10G199100,Lbc1,Lba,Gm10,Gm10,True,0,3328,tandem,True,92.36111111111111,92.36111111111111,144,0.0021082163
Glyma.10G199000_Lbc1,Glyma.11G121700_Hb1,Glyma.10G199000,Glyma.11G121700,Lbc1,Hb1,Gm10,Gm11,False,-1,-1,dispersed,False,45.833333333333336,45.833333333333336,144,0.073326945
Glyma.10G199000_Lbc1,Glyma.11G121800_Hb2,Glyma.10G199000,Glyma.11G121800,Lbc1,Hb2,Gm10,Gm11,False,-1,-1,dispersed,False,43.75,43.75,144,0.14359444
Glyma.10G199000_Lbc1,Glyma.20G191200_Lbc2,Glyma.10G199000,Glyma.20G191200,Lbc1,Lbc2,Gm10,Gm20,False,-1,-1,dispersed,True,93.75,93.75,144,0.00097090006
Glyma.10G199100_Lba,Glyma.11G121700_Hb1,Glyma.10G199100,Glyma.11G121700,Lba,Hb1,Gm10,Gm11,False,-1,-1,dispersed,False,45.138888888888886,45.138888888888886,144,0.075783014
Glyma.10G199100_Lba,Glyma.11G121800_Hb2,Glyma.10G199100,Glyma.11G121800,Lba,Hb2,Gm10,Gm11,False,-1,-1,dispersed,False,43.05555555555556,43.05555555555556,144,0.14441156
Glyma.10G199100_Lba,Glyma.20G191200_Lbc2,Glyma.10G199100,Glyma.20G191200,Lba,Lbc2,Gm10,Gm20,False,-1,-1,dispersed,True,93.05555555555556,93.05555555555556,144,0.001948297
Glyma.11G121700_Hb1,Glyma.11G121800_Hb2,Glyma.11G121700,Glyma.11G121800,Hb1,Hb2,Gm11,Gm11,True,0,3128,tandem,False,83.43949044585987,83.43949044585987,157,0.021873236
Glyma.11G121700_Hb1,Glyma.20G191200_Lbc2,Glyma.11G121700,Glyma.20G191200,Hb1,Lbc2,Gm11,Gm20,False,-1,-1,dispersed,False,45.51724137931034,45.51724137931034,145,0.07311964
Glyma.11G121800_Hb2,Glyma.20G191200_Lbc2,Glyma.11G121800,Glyma.20G191200,Hb2,Lbc2,Gm11,Gm20,False,-1,-1,dispersed,False,43.44827586206897,43.44827586206897,145,0.14258736
