label_a,label_b,gene_a,gene_b,symbol_a,symbol_b,pair_class,duplication_mode,chrom_a,chrom_b,pid_aligned,esm2_cosine_distance,tm_score,rmsd,pocket_identity,tissue_overlap,dose_ratio,cover_a_by_b,cover_b_by_a,log2fc_mean_nodule,log2fc_sd_nodule,log2fc_mean_all,log2fc_sd_all,spearman_profile,M_seq_family,M_fold_family,M_pocket_family,M_family,E_family,R_family,R_a_covered_by_b_family,R_b_covered_by_a_family,M_seq_clade,M_fold_clade,M_pocket_clade,M_clade,E_clade,R_clade,R_a_covered_by_b_clade,R_b_covered_by_a_clade,alpha_M,beta_E
Glyma.10G198800_Lbc3,Glyma.10G199000_Lbc1,Glyma.10G198800,Glyma.10G199000,Lbc3,Lbc1,Lb-Lb,tandem,Gm10,Gm10,91.66666666666669,0.0011264086,0.9904,0.46,95.65,0.9999990973740905,0.7898264342571123,1.0,0.7898264342571123,-0.374583143928678,0.3062431980834467,-0.1585511858293184,0.2503086215013735,1.0,0.9646902414122112,0.9715415019762842,0.9090528956721724,0.9484282130202226,0.7898257213393087,0.8498074801090166,0.9790425130089284,0.8498074801090166,0.9646902414122112,0.9715415019762842,0.9090528956721724,0.45011992744063084,1.0,0.7266600695420622,0.7266600087332462,0.5834636129981653,0.4,0.6
Glyma.10G198800_Lbc3,Glyma.20G191200_Lbc2,Glyma.10G198800,Glyma.20G191200,Lbc3,Lbc2,Lb-Lb,dispersed,Gm10,Gm20,95.17241379310344,0.00058847666,0.9976,0.221,100.0,0.9999994706013378,0.7462843723230483,0.7462843723230483,1.0,0.3924237535311393,0.242212777761747,0.1569695014124557,0.2467097041634274,1.0,1.0,1.0,1.0,1.0,0.7462839772411,0.8389623479617965,0.8389623479617965,0.999999682360769,1.0,1.0,1.0,1.0,0.9219429930022439,0.9524066974316271,0.7894475923458031,0.9999998634164103,0.4,0.6
Glyma.10G199000_Lbc1,Glyma.20G191200_Lbc2,Glyma.10G199000,Glyma.20G191200,Lbc1,Lbc2,Lb-Lb,dispersed,Gm10,Gm20,93.75,0.00097090006,0.9915,0.428,95.65,0.9999996267727527,0.5894351247337205,0.5894351247337205,1.0,0.7670068974598172,0.0640304203216998,0.3155206872417742,0.4137730636075045,1.0,0.985103803582522,0.9758893280632411,0.9090528956721724,0.9566820091059784,0.5894349047404714,0.7154323151518838,0.7154323151518838,0.9824420564617924,0.985103803582522,0.9758893280632411,0.9090528956721724,0.538125371043067,0.6407606608899025,0.5975453782753063,0.49804484767822715,0.7804649198975063,0.4,0.6
Glyma.10G199000_Lbc1,Glyma.10G199100_Lba,Glyma.10G199000,Glyma.10G199100,Lbc1,Lba,Lb-Lb,tandem,Gm10,Gm10,92.36111111111111,0.0021082163,0.9816,0.992,95.65,0.9999992060296957,0.4409259017323885,1.0,0.4409259017323885,-1.1852353650324137,0.0885433495519691,-0.5065486903324777,0.6246559500204608,1.0,0.9679077252257209,0.9367588932806323,0.9090528956721724,0.9379065047261752,0.4409255516503161,0.5963249484492393,0.9746834957651808,0.5963249484492393,0.9679077252257209,0.9367588932806323,0.9090528956721724,0.3379330504869968,0.3745288905858879,0.3594375637356613,0.6479362342284019,0.23547658981772143,0.4,0.6
Glyma.10G198800_Lbc3,Glyma.10G199100_Lba,Glyma.10G198800,Glyma.10G199100,Lbc3,Lba,Lb-Lb,tandem,Gm10,Gm10,92.36111111111111,0.0024348497,0.9844,0.915,91.3,0.9999983034037864,0.3482549327368943,1.0,0.3482549327368943,-1.559818508961092,0.394786547635416,-0.6650998761617963,0.844469369795354,1.0,0.9667742148509338,0.9478260869565218,0.8181057913443445,0.9109020310506,0.34825434188889404,0.5115953542186662,0.9633591486803698,0.5115953542186662,0.9667742148509338,0.9478260869565218,0.8181057913443445,0.05,0.20839780377130546,0.11773996012736852,0.30170860708835023,0.05,0.4,0.6
Glyma.10G199100_Lba,Glyma.20G191200_Lbc2,Glyma.10G199100,Glyma.20G191200,Lba,Lbc2,Lb-Lb,dispersed,Gm10,Gm20,93.05555555555556,0.001948297,0.9863,0.919,91.3,0.9999988328024485,0.2598972138859586,0.2598972138859586,1.0,1.952242262492231,0.1525737698736688,0.822069377574252,1.0379267150071072,1.0,0.9750873249761629,0.9553359683794463,0.8181057913443445,0.9161763615666512,0.2598969105345669,0.4302018791499305,0.4302018791499305,0.9655868191944739,0.9750873249761629,0.9553359683794463,0.8181057913443445,0.10623712918859277,0.05,0.06759156983058243,0.06759156983058243,0.4078591680095117,0.4,0.6
Glyma.10G198900_GmLb5,Glyma.11G121700_Hb1,Glyma.10G198900,Glyma.11G121700,GmLb5,Hb1,other-other,dispersed,Gm10,Gm11,47.651006711409394,0.07078838,0.8327,2.222,52.17,0.4052662011918314,0.2292124044588538,0.2292124044588538,1.0,1.0114794685430126,0.3494217235805268,-0.009193160389406,0.9895746534224574,-0.3354101966249684,0.30305724804828915,0.3482213438735176,0.0,0.21709286397393557,0.09289204042108527,0.13045037164467393,0.13045037164467393,0.31572025909262136,0.30305724804828915,0.3482213438735176,0.0,0.05,0.05,0.05,0.05,0.08997016961841901,0.4,0.6
Glyma.11G121700_Hb1,Glyma.11G121800_Hb2,Glyma.11G121700,Glyma.11G121800,Hb1,Hb2,other-other,tandem,Gm11,Gm11,83.43949044585987,0.021873236,0.8929,1.57,82.61,0.6754761946895056,0.0158975744829898,1.0,0.0158975744829898,-4.267273591934957,0.6511285430899547,-3.266973230452328,1.2803511866670294,-0.6,0.814209945417173,0.5861660079051383,0.6364206564917415,0.678932203271351,0.010738433116562933,0.05640207911364311,0.6768564820131202,0.05640207911364311,0.814209945417173,0.5861660079051383,0.6364206564917415,0.05,0.05,0.05,0.21836639954606304,0.05,0.4,0.6
Glyma.10G198900_GmLb5,Glyma.11G121800_Hb2,Glyma.10G198900,Glyma.11G121800,GmLb5,Hb2,other-other,dispersed,Gm10,Gm11,46.0,0.14446306,0.7446,2.907,52.17,0.729790006502326,0.0693573915448528,1.0,0.0693573915448528,-3.2557941233919445,0.3017068195094283,-3.276166390841733,0.7124323823113999,0.8944271909999159,0.031635514520538074,0.0,0.0,0.010545171506846024,0.0506163312265025,0.027026876495914988,0.13401092540392062,0.027026876495914988,0.031635514520538074,0.0,0.0,0.05,0.05,0.05,0.2336677923646649,0.05,0.4,0.6
Glyma.11G121800_Hb2,Glyma.20G191200_Lbc2,Glyma.11G121800,Glyma.20G191200,Hb2,Lbc2,Lb-other,dispersed,Gm11,Gm20,43.44827586206897,0.14258736,0.8248,2.411,52.17,0.7297920930883648,0.0055657680279882,1.0,0.0055657680279882,-7.493792991070384,0.8508897579195129,-1.0326580154205718,5.954570326730759,0.7181848464596079,0.013802619307509433,0.31699604743082976,0.0,0.11026622224611307,0.004061853498789809,0.015212883923448228,0.3426861012252388,0.015212883923448228,0.013802619307509433,0.31699604743082976,0.0,0.05,0.05,0.05,0.23366836727459683,0.05,0.4,0.6
Glyma.10G198800_Lbc3,Glyma.11G121800_Hb2,Glyma.10G198800,Glyma.11G121800,Lbc3,Hb2,Lb-other,dispersed,Gm10,Gm11,42.75862068965517,0.14466894,0.8282,2.355,52.17,0.7297915636897027,0.0041536456992628,0.0041536456992628,1.0,7.886216744601523,1.0931025356812607,1.1896275168330273,6.1770805789826015,0.7181848464596079,0.0,0.3304347826086957,0.0,0.1101449275362319,0.003031295589878007,0.012757417638420756,0.012757417638420756,0.34253511814582244,0.0,0.3304347826086957,0.0,0.05,0.05,0.05,0.05,0.22342457272972305,0.4,0.6
