gene_window_B,gene_window_A,perc_id_B,perc_id_A,duplication_node,rank_A,rank_B,pos_A_mb,pos_B_mb
GLYMA_20G189100,GLYMA_10G201300,93.75,95.2941,Glycine_subgen._Soja,75,17,43.244789,42.762367
GLYMA_20G188400,GLYMA_10G202000,92.1769,91.5541,Glycine_subgen._Soja,82,10,43.31597,42.705536
GLYMA_20G190600,GLYMA_10G199900,86.7347,86.2069,Glycine_subgen._Soja,61,32,43.073022,42.935164
GLYMA_20G190900,GLYMA_10G199300,97.7011,97.7011,Glycine_subgen._Soja,55,35,43.02106,42.979128
GLYMA_20G189200,GLYMA_10G201200,93.8333,93.8333,Glycine_subgen._Soja,74,18,43.234472,42.780095
GLYMA_20G190000,GLYMA_10G200600,97.556,97.556,Glycine_subgen._Soja,68,26,43.131862,42.874499
GLYMA_20G189900,GLYMA_10G200700,96.0578,95.1823,Glycine_subgen._Soja,69,25,43.1421,42.864412
GLYMA_20G192500,GLYMA_10G197500,94.6237,94.6237,Glycine_subgen._Soja,37,51,42.882331,43.138131
GLYMA_20G192500,GLYMA_10G197600,19.3548,20.0893,Mesangiospermae,38,51,42.899234,43.138131
GLYMA_20G190100,GLYMA_10G200500,94.6309,93.3775,Glycine_subgen._Soja,67,27,43.127338,42.883004
GLYMA_20G195300,GLYMA_10G194600,94.7541,94.7541,Glycine_subgen._Soja,8,79,42.666614,43.368232
GLYMA_20G195400,GLYMA_10G196700,50.8215,67.2464,Eukaryota,29,80,42.807536,43.372131
GLYMA_20G190500,GLYMA_10G200000,94.067,94.1571,Glycine_subgen._Soja,62,31,43.077358,42.92467
GLYMA_20G193600,GLYMA_10G196600,85.4962,86.8217,Glycine_subgen._Soja,28,62,42.80227,43.237781
GLYMA_20G188500,GLYMA_10G201900,95.0897,95.0897,Glycine_subgen._Soja,81,11,43.302114,42.713258
GLYMA_20G190400,GLYMA_10G200100,94.8787,94.8787,Glycine_subgen._Soja,63,30,43.088147,42.913612
GLYMA_20G195100,GLYMA_10G194800,85.9574,87.4459,Glycine_subgen._Soja,10,77,42.686749,43.353231
GLYMA_20G187700,GLYMA_10G198000,18.4739,18.254,Eukaryota,42,3,42.923799,42.622307
GLYMA_20G194300,GLYMA_10G195800,86.0892,67.7686,Glycine_subgen._Soja,20,69,42.735927,43.319314
GLYMA_20G190300,GLYMA_10G200200,96.4467,85.7788,Glycine_subgen._Soja,64,29,43.089459,42.906605
GLYMA_20G194900,GLYMA_10G195200,88.1579,90.7859,Glycine_subgen._Soja,14,75,42.708491,43.341092
GLYMA_20G192100,GLYMA_10G197800,93.8489,93.6842,Glycine_subgen._Soja,40,46,42.914376,43.072402
GLYMA_20G192100,GLYMA_10G197900,86.4675,86.3158,Glycine_subgen._Soja,41,46,42.92053,43.072402
GLYMA_20G188000,GLYMA_10G202400,88.1443,95.709,Glycine_subgen._Soja,86,6,43.382723,42.654896
GLYMA_20G188000,GLYMA_10G200800,20.9622,24.7967,Streptophytina,70,6,43.176609,42.654896
GLYMA_20G191600,GLYMA_10G198500,95.5882,94.8905,Glycine_subgen._Soja,47,42,42.958437,43.03839
GLYMA_20G191900,GLYMA_10G198000,95.2381,95.2381,Glycine_subgen._Soja,42,45,42.923799,43.064269
GLYMA_20G188300,GLYMA_10G202200,68.4865,88.6634,Glycine_subgen._Soja,84,9,43.337386,42.683167
GLYMA_20G189300,GLYMA_10G201100,97.3384,97.3384,Glycine_subgen._Soja,73,19,43.218268,42.789586
GLYMA_20G191800,GLYMA_10G198100,89.8773,88.7879,Glycine_subgen._Soja,43,44,42.93276,43.061155
GLYMA_20G192900,GLYMA_10G197300,83.2504,83.6667,Glycine_subgen._Soja,35,55,42.857995,43.192981
GLYMA_20G192800,GLYMA_10G197300,86.6221,86.3333,Glycine_subgen._Soja,35,54,42.857995,43.186683
GLYMA_20G193200,GLYMA_10G196900,74.7415,73.7609,Phaseoleae,31,58,42.813596,43.214556
GLYMA_20G193100,GLYMA_10G197100,98.0392,98.0392,Phaseoleae,33,57,42.845226,43.207414
GLYMA_20G189000,GLYMA_10G201400,90.7268,74.3326,Glycine_subgen._Soja,76,16,43.259372,42.759238
GLYMA_20G195600,GLYMA_10G194400,98.0349,98.0349,Glycine_subgen._Soja,6,82,42.644023,43.392546
GLYMA_20G189800,GLYMA_10G197300,27.5362,6.33333,Eukaryota,35,24,42.857995,42.83493
GLYMA_20G187800,GLYMA_10G202600,87.3635,85.758,Glycine_subgen._Soja,88,4,43.395214,42.635814
GLYMA_20G191200,GLYMA_10G198800,95.1724,95.1724,Glycine_subgen._Soja,50,38,42.995962,42.993081
GLYMA_20G191200,GLYMA_10G199000,93.1034,93.75,Glycine_subgen._Soja,52,38,43.004558,42.993081
GLYMA_20G191200,GLYMA_10G199100,92.4138,93.0556,Glycine_subgen._Soja,53,38,43.009251,42.993081
GLYMA_20G191200,GLYMA_10G198900,80.0,69.0476,Phaseoleae,51,38,43.000237,42.993081
GLYMA_20G193900,GLYMA_10G196300,93.1925,91.7919,Glycine_subgen._Soja,25,65,42.77869,43.27141
GLYMA_20G191400,GLYMA_10G198600,96.3443,96.2309,Glycine_subgen._Soja,48,40,42.979388,43.005971
GLYMA_20G188800,GLYMA_10G201600,98.4881,98.4881,Glycine_subgen._Soja,78,14,43.27229,42.747257
GLYMA_20G195200,GLYMA_10G194700,89.4283,88.7335,Glycine_subgen._Soja,9,78,42.670924,43.359732
GLYMA_20G193700,GLYMA_10G196500,87.2727,92.3077,Glycine_subgen._Soja,27,63,42.797101,43.246126
GLYMA_20G190800,GLYMA_10G199500,62.0155,57.971,Glycine_subgen._Soja,57,34,43.04139,42.965039
GLYMA_20G195000,GLYMA_10G195000,62.4277,86.4,50_kb_inversion_clade,12,76,42.702305,43.345158
GLYMA_20G192000,GLYMA_10G197900,85.0,23.8596,Embryophyta,41,47,42.92053,43.072535
