gene_A,gene_B,symbol_A,symbol_B,len_A,len_B,aligned_cols,n_substitutions,pct_identity_aligned,embed_cosine_distance,llr_sum_A_to_B,llr_sum_B_to_A,llr_mean_A_to_B,llr_mean_B_to_A,llr_mean_symmetric
GLYMA_10G198800,GLYMA_10G198900,LB1,LB5,145,168,145,33,77.2414,0.017465,-1.5703,-8.5647,-0.0476,-0.2595,-0.1536
GLYMA_10G198800,GLYMA_10G199000,LB1,LB2,145,144,144,12,91.6667,0.001127,-2.4264,1.5895,-0.2022,0.1325,-0.0349
GLYMA_10G198800,GLYMA_10G199100,LB1,LB3,145,144,144,11,92.3611,0.002435,1.2369,-0.8712,0.1124,-0.0792,0.0166
GLYMA_10G198800,GLYMA_20G191200,LB1,LB4,145,145,145,7,95.1724,0.000589,8.0957,-8.4767,1.1565,-1.211,-0.0272
GLYMA_10G198900,GLYMA_10G199000,LB5,LB2,168,144,144,29,79.8611,0.018594,-5.6312,0.0029,-0.1942,0.0001,-0.097
GLYMA_10G198900,GLYMA_10G199100,LB5,LB3,168,144,144,32,77.7778,0.020555,-3.9494,-6.086,-0.1234,-0.1902,-0.1568
GLYMA_10G198900,GLYMA_20G191200,LB5,LB4,168,145,145,29,80.0,0.020076,-0.9073,-10.1263,-0.0313,-0.3492,-0.1902
GLYMA_10G199000,GLYMA_10G199100,LB2,LB3,144,144,144,11,92.3611,0.002108,1.5822,-2.5425,0.1438,-0.2311,-0.0436
GLYMA_10G199000,GLYMA_20G191200,LB2,LB4,144,145,144,9,93.75,0.000971,8.7069,-11.0861,0.9674,-1.2318,-0.1322
GLYMA_10G199100,GLYMA_20G191200,LB3,LB4,144,145,144,10,93.0556,0.001948,6.8755,-7.8917,0.6875,-0.7892,-0.0508
