pair,gene_A,gene_B,aligned_codons,identical_codons,synonymous_codons,nonsynonymous_codons,nt_substitutions,pct_codon_identity,pct_protein_identity,frac_changed_codons_synonymous,unaligned_codons_A,unaligned_codons_B
LB1-LB4,GLYMA_10G198800,GLYMA_20G191200,145,123,15,7,24,84.83,95.17,0.6818,0,0
LB2-LB4,GLYMA_10G199000,GLYMA_20G191200,144,123,12,9,22,85.42,93.75,0.5714,0,1
LB3-LB4,GLYMA_10G199100,GLYMA_20G191200,144,126,8,10,21,87.5,93.06,0.4444,0,1
LB1-LB3,GLYMA_10G198800,GLYMA_10G199100,144,124,9,11,23,86.11,92.36,0.45,1,0
LB2-LB3,GLYMA_10G199000,GLYMA_10G199100,144,126,7,11,19,87.5,92.36,0.3889,0,0
LB1-LB2,GLYMA_10G198800,GLYMA_10G199000,144,118,14,12,28,81.94,91.67,0.5385,1,0
LB5-LB4,GLYMA_10G198900,GLYMA_20G191200,145,94,22,29,57,64.83,80.0,0.4314,23,0
LB5-LB2,GLYMA_10G198900,GLYMA_10G199000,144,91,24,29,57,63.19,79.86,0.4528,24,0
LB5-LB3,GLYMA_10G198900,GLYMA_10G199100,144,91,21,32,60,63.19,77.78,0.3962,24,0
LB1-LB5,GLYMA_10G198800,GLYMA_10G198900,145,89,23,33,65,61.38,77.24,0.4107,0,23
